English Name,Amount,English Unit,,Calories,Fats,Carbs,Protein,Arabic Name,Arabic Unit,Vit A (µg),Vit C (mg),Vit D (µg),Vit K (µg),Folate (µg),Vit B12 (µg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Selenium (µg),,FoodGroup,SubGroup
Maraai Low Fat Cheddar Cheese,100,grams,,257,19,2,19,   جبنة المراعي شيدر قليلة الدسم,جرام,180,-,0.3,1.8,14,1.1,700,0.4,28,140,3,14,,Packaged & Mixed Foods,Balanced Protein-Carb
Marai Cheese Slices Fat free,100,grams,,145,1.5,9,21,   شرائح جبن المراعي خالية الدسم,جرام,120,-,0.2,1,12,1,850,0.5,30,150,3.2,15,,Protein,Lean Protein
Mersin White Cheese,100,grams,,225,20,3,5,   جبنة بيضاء مرسين,جرام,200,-,0.5,2,20,1.5,700,0.5,30,130,3,15,,Fats & Oils,Fatty Protein
Turkish Labneh Lite,100,grams,,173,12.5,7,8.2,   لبنة تركي لايت,جرام,100,-,-,1.5,15,0.5,250,0.2,20,200,1,8,,Protein,Lean Protein
Hungarian Cheese,100,grams,,210,18,3,9,   جبنة هنغارية,جرام,180,-,0.4,1.8,15,1.2,600,0.4,25,120,2.5,12,,Fats & Oils,Fatty Protein
Ricotta cheese,100,grams,,174,13,3,11,   جبنة ريكوتا,جرام,115,-,0.1,0.3,12,0.2,207,0.38,11,155,0.4,14.5,,Packaged & Mixed Foods,Balanced Protein-Carb
Frico Edam light,100,grams,,317,24,0,26,   جبنة فريكو إيدام,جرام,200,-,0.4,2,15,1.5,800,0.4,30,160,4.2,15,,Fats & Oils,Fatty Protein
Feta Cheese,100,grams,,264,21.28,4.09,14.21,   الجبنة التا,جرام,125,-,0.4,1.8,32,-,493,0.65,19,62,2.88,15,,Fats & Oils,Fatty Protein
Low Fat Feta Cheese,100,grams,,176,13.1,2.5,15.1,   جبنة تا قليلة الدسم,جرام,120,-,-,1.5,25,0.3,420,0.3,15,110,1.1,12,,Protein,Lean Protein
Marai low fat feta cheese,100,grams,,184,11.6,5.3,14.5,   جبنة تا قليلة الدسم المراعي,جرام,120,-,-,1.5,25,0.3,420,0.3,15,110,1.1,12,,Protein,Lean Protein
Domy Feta light,100,grams,,150,11.424,5.712,15.708,   دومتي جبنة تا لايت,جرام,120,-,-,1.5,25,0.3,420,0.3,15,110,1.1,12,,Protein,Lean Protein
Cottage Cheese,100,grams,,103,4.51,2.68,12.49,   الجبنة القريش,جرام,37,-,0.1,-,9,0.4,83,0.08,8,104,0.4,9.7,,Protein,Lean Protein
Light Cottage Cheese,100,grams,,60,1,3,11,   جبنة قريش قليلة الدسم,جرام,40,-,0.1,-,10,0.5,90,0.1,9,110,0.5,10,,Protein,Lean Protein
Cream Cheese,100,grams,,349,34.87,2.66,7.55,   جبنة مثلثات,جرام,368,-,0.6,2.9,13,0.2,98,0.4,10,130,0.5,3,,Packaged & Mixed Foods,Balanced Protein-Carb
Light Cream Cheese,100,grams,,188,14.1,6.3,9.4,   جبنة مثلثات لايت,جرام,180,-,-,2.9,13,0.2,90,0.4,10,130,0.5,3,,Packaged & Mixed Foods,Balanced Protein-Carb
Mozzarella Full Cream,100,grams,,318,24.64,2.47,21.6,   جبنة موتزريلا كاملة الدسم,جرام,179,-,0.4,2.3,7,0.8,505,0.4,20,104,2.9,17.5,,Fats & Oils,Fatty Protein
Mozzarella low Fat,100,grams,,254,15.92,2.77,24.26,   جبنة موتزريلا خالية الدسم,جرام,180,-,-,2,7,0.8,600,0.4,20,100,2.5,15,,Protein,Lean Protein
Halloumi Full Cream,100,grams,,316,24.7,1.6,20,   جبنة حلوم كاملة الدسم,جرام,245,-,0.5,2,20,1.5,790,0.5,30,150,3.5,20,,Fats & Oils,Fatty Protein
Halloumi Low Fat,100,grams,,253,16,3,24,   جبنة حلوم خالية الدسم,جرام,200,-,0.4,1.8,18,1.4,850,0.5,32,160,3.8,22,,Protein,Lean Protein
Marai Halloumi Low Fat,100,grams,,253,17,2,23,   جبنة المراعي حلوم قليلة الدسم,جرام,200,-,0.4,1.8,18,1.4,850,0.5,32,160,3.8,22,,Protein,Lean Protein
Marai Low fat Cheddar spread,100,grams,,260,21.5,5,11.5,   المراعي جبن شيدر قابل للدهن قليلة الدسم,جرام,180,-,0.3,1.8,14,1.1,700,0.4,28,140,3,14,,Packaged & Mixed Foods,Balanced Protein-Carb
Puck low fat white cheese,100,grams,,160,8,5,15,   جبنة بوك بيضاء قليلة الدسم,جرام,100,-,-,1.5,20,0.3,400,0.3,15,120,1,10,,Packaged & Mixed Foods,Balanced Protein-Carb
Philadelphia light soft cheese,100,grams,,128,8.8,5,6.6,   جبنة لاديلا لايت,جرام,180,-,-,2.9,13,0.2,90,0.4,10,130,0.5,3,,Packaged & Mixed Foods,Balanced Protein-Carb
Labneh Diet,100,grams,,62,1.5,1.2,11,   لبنة دايت ,جرام,100,-,-,1.5,15,0.5,250,0.2,20,200,1,8,,Protein,Lean Protein
Pinar traditional white cheese,100,grams,,260,21,4,14,   جبنة بينار بيضاء,جرام,200,-,0.5,2,20,1.5,700,0.5,30,130,3,15,,Fats & Oils,Fatty Protein
Bahcivan white cheese,100,grams,,298,26,1,15,   باهسيفان جبنة بيضاء,جرام,220,-,0.5,2.2,22,1.6,720,0.5,32,140,3.2,16,,Fats & Oils,Fatty Protein
Buttermilk,100,grams,,60,3,5,3,   اللبن الرائب,جرام,46,-,1.3,0.3,5,0.4,121,0.03,10,143,0.37,3.7,,Packaged & Mixed Foods,Low-Cal
Milk cream,100,grams,,345,37,2.8,2.1,   القشطة,جرام,350,0.6,1.2,3.4,3,0.2,68,0.05,7,93,0.2,1,,Fats & Oils,Healthy Fat
Light Cream,100,grams,,195,19.31,3.66,2.7,   قشطة لايت,جرام,180,0.5,0.6,1.5,2,0.1,70,0.04,6,100,0.15,0.8,,Fats & Oils,Healthy Fat
Yogurt Full cream,100,grams,,95,2.7,13,2.9,   الزبادى كامل الدسم,جرام,27,0.5,-,0.1,7,0.37,121,0.05,12,155,0.59,2.2,,Packaged & Mixed Foods,Balanced Protein-Carb
Yogurt Reduced fat,100,grams,,63,2,7,5,   الزبادي قليل الدسم,جرام,30,0.6,-,0.1,5,0.76,110,0.05,11,155,0.59,2.2,,Packaged & Mixed Foods,Balanced Protein-Carb
Marai Yogurt Low Fat,100,grams,,57,1.1,7,4.6,   الزبادي المراعي قليل الدسم,جرام,14,0.9,-,0.1,5,0.37,121,0.05,12,155,0.59,2.2,,Packaged & Mixed Foods,Balanced Protein-Carb
Marai Yoghurt Skim Milk,100,grams,,44,0.3,6.3,5.6,   الزبادي المراعي خالي الدسم,جرام,15,1,-,0.1,6,0.4,130,0.06,13,160,0.6,2.5,,Protein,Lean Protein
Marai Vital fresh milk,100,grams,,50,1.4,4.8,3.1,   حليب المراعي تال لايت,جرام,56,-,1.3,0.1,5,0.5,120,0.05,11,146,0.4,3.1,,Packaged & Mixed Foods,Balanced Protein-Carb
Yoplait Yogurt Mixed Berries Low Fat,100,grams,,91.6,0.9,16.8,4.1,   الزبادي يوبليه قليل الدسم فراولة و توت,جرام,5,2,-,0.1,6,0.5,120,0.1,10,150,0.6,2,,Protein,Balanced Protein-Carb
Danette Chocolate Pudding,100,grams,,140,4.6,23,2.1,   دانيت شيكولاتة بودينج,جرام,30,0.2,-,0.2,3,0.1,90,0.5,15,160,0.4,1.5,,Packaged & Mixed Foods,Candy-like Snack
Fage yogurt 2% fat,100,grams,,75,2,4,10,زبادي ج 2% دسم,جرام,25,-,-,-,5,0.7,110,-,11,150,0.5,2,,Packaged & Mixed Foods,Lean Protein
Icecream,100,grams,,207,11,21,3.5,   الآيس كريم,جرام,110,0.6,0.2,0.1,4,0.4,128,0.1,10,199,0.4,2.2,,Packaged & Mixed Foods,Candy-like Snack
Cheesecake,100,grams,,321,1.6,26,6,   الشيز كيك,جرام,150,1,0.3,2,15,0.3,100,1,15,150,0.5,5,,Packaged & Mixed Foods,Candy-like Snack
Kunafa,100,grams,,382,8,69,1,   الكنافة الشرقي,جرام,50,-,-,5,20,-,50,1.5,30,200,1,10,,Packaged & Mixed Foods,Candy-like Snack
Pizza,100,grams,,209,8.5,24,9.8,   البيتزا بالوزن,جرام,100,2,0.2,5,25,0.5,200,2,20,250,1.5,15,,Packaged & Mixed Foods,Balanced Protein-Carb
Jam,100,grams,,278,0.1,69,0.4,   المربى,جرام,1,10,-,-,2,-,10,0.3,5,50,0.05,0.5,,Sauces & Condiments,High-Carb
Light Jam,100,grams,,160,0,32,0,   المربى لايت,جرام,1,10,-,-,2,-,10,0.3,5,50,0.05,0.5,,Sauces & Condiments,Low-Cal
Deemah Rich oats biscuits,100,grams,,466,20,66.66,10,   بسكويت ديمة ريتش بالشوفان,جرام,-,-,-,-,30,-,50,4,130,350,3.5,25,,Packaged & Mixed Foods,High-Carb
Nutella,100,grams,,520,7.3,10.7,7.3,   النيوتيلا,جرام,15,-,-,-,15,-,130,1.2,70,350,1,2,,Sauces & Condiments,Healthy Fat
Jelly,100,grams,,278,0.1,67.8,0.4,   الجيلي,جرام,-,-,-,-,-,-,-,-,-,-,-,-,,Packaged & Mixed Foods,Low-Cal
Custard,100,grams,,242,8.3,35.6,6.1,   الكاسترد,جرام,80,1,1,0.5,10,0.4,200,0.5,15,250,0.5,5,,Packaged & Mixed Foods,Balanced Protein-Carb
Cinabbon Classic,100,grams,,380,17,54,5,   سينابون رول كلاسيك,جرام,100,0.5,0.2,10,20,0.2,80,1.5,20,200,0.8,8,,Packaged & Mixed Foods,Candy-like Snack
Serious Mass,100,grams,,375,1,84,15,   سيريوس ماس,جرام,237,30,2.5,2.5,200,0.5,295,4,210,735,0.75,35,,Packaged & Mixed Foods,High-Carb
Muscle-Tech Phase 8,100,grams,,380,3.57,19,62,بروتين ماصل تك ز 8,جرام,250,-,-,-,50,1.2,1200,2.5,150,500,1.5,100,,Packaged & Mixed Foods,Balanced Protein-Carb
Chike High protein coffee,100,grams,,420,7.5,27,60,   شيك قهوة عالية البروتين,جرام,0,0,0,0,0,0,0,0,0,0,0,0,,Packaged & Mixed Foods,Balanced Protein-Carb
Whey Protein,100,grams,,336,0,9,75,   واي بروتين,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Lean Protein
Myprotein Iso 97,100,grams,,399,1,0,97,ماي بروتين أيزو 97,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Lean Protein
Casein Protein,100,grams,,336,0,9,75,   كاسيين بروتين,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Lean Protein
Dymatize Iso 100,100,grams,,375,1.56,6.25,78.126,ديماتيز أيزو 100,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Lean Protein
Dymatize Elite Casein,100,grams,,393.939,0,9.0909,75.7575,   ديماتيز إليت كاسيين,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Lean Protein
Isopure Zero Carb,100,grams,,344.4,1.64,0,82,   أيزو بيور زيرو كارب,جرام,237,30,2.5,2.5,200,0.5,300,0.2,100,450,0.5,17,,Packaged & Mixed Foods,Lean Protein
NOW Vanilla Whey Protein,100,grams,,395,4.65,16.27,60.4,   واي بروتين بالفانيليا شركة NOW,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Balanced Protein-Carb
NOW Strawberry Whey Protein,100,grams,,375,1.5625,6.25,78.125,   واي بروتين فراولة شركة NOW,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Lean Protein
Mars Whey Protein,100,grams,,386,7.3,11.4,67.5,   مارس واي بروتين,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Balanced Protein-Carb
Milk Protein Concentrate,100,grams,,365,1.5,18,70,   مركز بروتين الحليب,جرام,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Packaged & Mixed Foods,Lean Protein
Whole milk powder,100,grams,,495,17,38,26,   حليب بودرة مجفف,جرام,215,6,0.2,0.2,9,3.7,909,0.2,85,1200,3.6,16.3,,Protein,Fatty Protein
Dano powder light,100,grams,,405,11,48,28,   حليب دانو مجفف لايت,جرام,250,8,0.3,0.3,10,4,950,0.3,90,1300,4,18,,Protein,Balanced Protein-Carb
Flapjacked Protein pancake and baking mix,100,grams,,377.35,6.6,43.39,37.73,   بروتين بان كيك فلاب جاكد,جرام,0,0,0,0,0,0,0,0,0,0,0,0,,Packaged & Mixed Foods,Balanced Protein-Carb
Regilait Powdered Skimmed milk,100,grams,,356,0.8,51.7,35.5,   حليب ريجيليه مجفف خالي الدسم,جرام,25,15,7.5,0.1,50,4,1230,0.4,110,1650,4,20,,Protein,Lean Protein
Protein Bar,100,Gram,,416,23,17,42,بروتين بار,جرام,,,,,,,150,5,,400,,,حوالي 60 جرام (يختلف حسب النوع),Packaged & Mixed Foods,Balanced Protein-Carb
Pure protein bar,100,Gram,,360,9,34,42,بروتين بار بيور,جرام,,,,,,,160,1.8,,210,,,حجم الحصة (البار الواحد) 50 جرام,Packaged & Mixed Foods,Balanced Protein-Carb
Detour protein bar chocolate chip,100,Gram,,388,10.6,38.8,35.3,بروتين بار ديتور شيكولاتة,جرام,,,,,,,153,2.1,,200,,,حجم الحصة (البار الواحد) 85 جرام,Packaged & Mixed Foods,Balanced Protein-Carb
Lift low carb protein bar,100,Gram,,363,13,6.7,34,بروتين بار ليفت منخفض الكارب,جرام,,,,,,,,,,,,,حجم الحصة (البار الواحد) حوالي 60 جرام (حسب النوع),Packaged & Mixed Foods,Lean Protein
Barebells Cookies and Cream Protein Bar,100,Gram,,364,14.5,29,36.4,بروتين بار باربيلز كوكيز,جرام,,,,,,,182,0.9,,118,,,حجم الحصة (البار الواحد) 55 جرام,Packaged & Mixed Foods,Balanced Protein-Carb
Dymatize Elite Protein Bar,100,Gram,,343,12.9,31.4,35.7,ديماتيز إليت بروتين بار,جرام,,,,,,,171,0.5,,157,,,حجم الحصة (البار الواحد) 70 جرام,Packaged & Mixed Foods,Balanced Protein-Carb
Mars Protein,100,grams,,351,8.1,39,33,   مارس بروتين,جرام,150,30,2.5,20,200,2.5,600,5,100,400,5,30,,Packaged & Mixed Foods,Balanced Protein-Carb
Snicker’s Protein,100,grams,,391,5.3,36.1,36,   سنيكرز بروتين,جرام,150,30,2.5,20,200,2.5,600,5,100,400,5,30,,Packaged & Mixed Foods,Balanced Protein-Carb
Nestle Fitness Chocolate,100,grams,,395,6,74,8,   نستلة فتنس شوكليت بار,جرام,200,30,2.5,-,200,1.25,500,7,100,400,5,20,,Packaged & Mixed Foods,High-Carb
Arrowwheat Mills organic buckwheat,100,grams,,355,11.111,69,11,   قمح عضوي أرو ويت ميلز,جرام,-,-,-,-,40,-,20,2.5,230,450,2.5,8,,Carbs,High-Carb
Quest Protein Bar S’mores,100,Gram,,317,13.3,38.3,35,كويست بروتين بار,جرام,,,,,,,167,1,,67,150,,,Packaged & Mixed Foods,Balanced Protein-Carb
Quest Protein bar cookies and cream,100,Gram,,333,15,36.7,35,كويست بروتين بار كوكيز كريم,جرام,,,,,,,133,1.3,,50,183,,,Packaged & Mixed Foods,Balanced Protein-Carb
Max sport protein bar,100,Gram,,408,15.8,36.7,25,بروتين بار ماكس سبورت,جرام,,,,,,,,,,,,,,Packaged & Mixed Foods,Balanced Protein-Carb
Think Thin High protein bar White chocolate,100,Gram,,383,15,40,33.3,بروتين بار ثنك ثين شيكولاتة بيضاء,جرام,,,,,,,167,1.3,,167,,,,Packaged & Mixed Foods,Balanced Protein-Carb
Yogurt Skim Milk,100,grams,,56,0.18,7.68,5.73,   الزبادى خالى الدسم,جرام,15,1,-,0.1,6,0.4,130,0.06,13,160,0.6,2.5,,Protein,Low-Carb
Danone light yogurt,100,grams,,57,1.5,6.3,4,   الزبادي دانون لايت,جرام,14,0.9,-,0.1,5,0.37,121,0.05,12,155,0.59,2.2,,Protein,Low-Carb
Oats raw,100,grams,,347,7,57,14,   الشوفان نئ,جرام,-,-,-,2,32,-,52,4.25,138,362,3.64,28.9,,Carbs,High-Carb
100% Wholegrain Oats,100,grams,,375,7.5,67.5,12.5,   الشوفان كامل الحبة نئ,جرام,-,-,-,2,32,-,52,4.25,138,362,3.64,28.9,,Carbs,High-Carb
Granola,100,grams,,443,22,54,12,   الجرانولا,جرام,-,1.2,-,-,25,-,40,3,100,280,2,8,,Packaged & Mixed Foods,High-Carb
Fitness Granola Oats Pumkin Seeds Cranberry,100,grams,,411,10,67,10,   الجرانولا فتنس شوفان لب كريز,جرام,-,-,-,-,30,-,50,4,130,350,3.5,25,,Packaged & Mixed Foods,High-Carb
Nestle Fitness Fruits,100,grams,,363,2.7,73.8,7.4,   نستلة فتنس فروتس,جرام,200,30,2.5,-,200,1.25,500,7,100,400,5,20,,Packaged & Mixed Foods,High-Carb
Weetabix Protein crunch,100,grams,,379,2.5,66,20,   ويتابكس بروتين كرنش,جرام,200,30,2.5,-,200,1.25,500,7,100,400,5,20,,Packaged & Mixed Foods,Balanced Protein-Carb
Weetabix 100% Whole Grain,100,grams,,362,2,69,12,   ويتابكس حبوب كاملة,جرام,-,-,-,1.9,38,-,160,3.8,100,350,3.1,41.4,,Packaged & Mixed Foods,High-Carb
Nature Valley Oats and Chocolate,100,grams,,456,20,60,8.33,   ألواح الجرانولا نيتشر فالي,جرام,-,-,-,-,25,-,40,3,100,280,2,8,,Packaged & Mixed Foods,High-Carb
Museli dried fruit and nuts,100,grams,,340,4.9,77.8,9.7,   موسلي فواكه مجففة و مكسرات,جرام,10,1,-,-,30,-,60,3.5,110,400,2.5,10,,Packaged & Mixed Foods,High-Carb
"Fava Beans cooked , boiled",100,grams,,110,0.4,19.7,7.6,   الفول المسلوق,جرام,1,1,-,3.2,177,-,50,2.5,70,330,1,1.2,,Carbs,High-Carb
California Fava Beans Egyptian Recipe,100,grams,,123,5.3,12.3,5.383,   كاليفورنيا فول مدمس بالخلطة المصرية,جرام,1,1,-,3,150,-,45,2.2,65,310,0.9,1,,Packaged & Mixed Foods,Balanced Protein-Carb
California Garden Peeled Fave beans,100,grams,,100,4.614,9.228,5.383,   كاليفورنيا جاردنز فول مقشور معلب,جرام,1,1,-,3.2,177,-,50,2.5,70,330,1,1.2,,Packaged & Mixed Foods,Balanced Protein-Carb
Raw Fava Beans,100,grams,,341,2,58,26,   الفول نئ ناشف,جرام,3,1.4,-,9,423,-,103,6.7,192,1032,3.1,8.2,,Carbs,High-Carb
White Rice Raw,100,grams,,358,1,79,6,   أرز أبيض نئ,جرام,-,-,-,0.1,8,-,28,0.8,25,115,1.1,15.1,,Carbs,High-Carb
Raw Basmati Rice,100,grams,,356,1.1,80,6.7,   أرز بسمتي نئ,جرام,-,-,-,-,18,-,25,0.8,40,120,1.2,16,,Carbs,High-Carb
"White Rice (cooked ,boiled)",100,grams,,129,0.28,27.9,2.66,   ارز ابيض مسلوق,جرام,-,-,-,-,58,-,10,0.2,12,35,0.4,9.7,,Carbs,High-Carb
"Brown Rice (cooked ,boiled)",100,grams,,112,0.83,23.51,2.32,   ارز بنى مسلوق,جرام,-,-,-,-,9,-,3,0.56,39,79,0.71,5.8,,Carbs,High-Carb
"Basmati Rice (cooked ,boiled)",100,grams,,120,0.38,25.08,3.52,   ارز بسمتى مسلوق,جرام,-,-,-,-,15,-,20,0.5,35,110,1,14,,Carbs,High-Carb
Rice Cakes,100,grams,,386,2.8,82,8,   كعكة الأرز,جرام,-,-,-,-,15,-,30,1.5,120,300,2.5,20,,Carbs,High-Carb
Biona Organic rice cakes with quinoa,100,grams,,389,3.6,78,9.1,   كعكة الأرز بيونا مع الكينوا,جرام,-,-,-,-,20,-,35,1.8,130,320,2.8,22,,Carbs,High-Carb
Asian Oreintal Nuts mix,100,grams,,506,26,52,17,   مكسرات صينية متنوعة,جرام,-,-,-,-,140,-,60,2,180,600,3,7,,Fats & Oils,Healthy Fat
Instant Noodles,100,grams,,138,1.2,2.1,4.5,   نودلز فورية,جرام,-,-,-,-,10,-,15,1,10,50,0.5,5,,Packaged & Mixed Foods,High-Carb
Black eyed peas raw,100,grams,,90,0.4,19,3,   لوبيا ناشفة نيئة,جرام,1,0.4,-,4.9,206,-,27,2.7,53,288,1.4,2.4,,Carbs,High-Carb
Cowpea,100,grams,,116,0.5,21,8,   لوبيا خضراء ناشفة,جرام,1,0.4,-,4.9,206,-,27,2.7,53,288,1.4,2.4,,Carbs,High-Carb
Kidney beans canned drained,100,grams,,84,0,16,5,   فاصوليا حمراء معلبة مصقاة,جرام,-,-,-,-,130,-,45,2.5,42,350,0.8,-,,Carbs,High-Carb
White Beans canned drained,100,grams,,114,0,21,7,   فاصوليا بيضاء معلبة مصفاة,جرام,-,-,-,0.1,177,-,105,8.7,190,561,2.8,1.2,,Carbs,High-Carb
Soybeans cooked boiled,100,grams,,173,9,10,17,   فول صويا مسلوق,جرام,1,6,-,19.1,58,-,277,15.7,86,436,1,17.8,,Carbs,Balanced Protein-Carb
Chick Peas,100,grams,,364,6,61,19,   حمص ناشف,جرام,3,4,-,9,172,-,105,6.2,115,875,3.4,8.2,,Carbs,High-Carb
Boiled Chickpeas,100,grams,,164,2.6,27.42,8.9,   حمص مسلوق,جرام,1,1.3,-,2.6,172,-,49,2.9,115,291,1.5,3.7,,Carbs,High-Carb
Canned Chickpeas,100,grams,,119,9.5,22.6,17.2,   حمص معلب,جرام,1,1,-,2.6,160,-,45,2.5,110,280,1.4,3.5,,Carbs,High-Carb
Lentils,100,grams,,353,1,60,26,   عدس ناشف,جرام,2,1.5,-,5,479,-,56,7.5,122,955,4.8,8.3,,Carbs,High-Carb
Cooked Lentils,100,grams,,116,0,20,9,   عدس مسلوق,جرام,-,1.5,-,1.7,181,-,19,3.3,36,369,1.3,2.8,,Carbs,High-Carb
Maggi Corrainder and Garlic mix,100,grams,,260,2,55,7.7,   ماجي خلطة الثوم و الكزبرة,جرام,0,0,0,0,0,0,0,0,0,0,0,0,,Packaged & Mixed Foods,High-Carb
Lupin,100,grams,,120,3,10,16,   ترمس مسلوق,جرام,1,-,-,-,54,-,53,1.2,54,422,1.1,-,,Protein,Balanced Protein-Carb
"Pasta (cooked ,boiled)",100,grams,,158,1,31,6,   مكرونة مسلوقة,جرام,-,-,-,0.1,8,-,11,0.3,23,44,0.5,26,,Carbs,High-Carb
Pasta raw,100,grams,,371,2,75,13,   مكرونة ناشفة نيئة,جرام,-,-,-,0.1,20,-,24,1.2,53,124,1.4,67,,Carbs,High-Carb
Whole wheat spaghetti raw,100,grams,,352,2.4,67,11.5,   مكرونة سباغيتي قمح كامل نيئة,جرام,-,-,-,-,35,-,40,3.5,140,400,3,70,,Carbs,High-Carb
Luisine Sliced Brown bread,100,grams,,233,2.5,40.1,9.8,   لوزين خبز توست بر,جرام,-,-,-,1.9,28,-,260,2.7,82,266,1.9,37.9,,Carbs,High-Carb
Herfy sliced bran bread,100,grams,,234,2.5,33,12.8,   هر شرائح خبز النخالة,جرام,-,-,-,2,30,-,270,3,85,270,2,40,,Carbs,High-Carb
Luisine brown bread sandwich roll,100,grams,,263.9,2.8,46.4,10.4,   لوزين ساندوتش رول بر,جرام,-,-,-,1.9,28,-,260,2.7,82,266,1.9,37.9,,Carbs,High-Carb
Luisine square,100,grams,,278,4.76,44.7,11.19,   لوزين سكوير,جرام,-,-,-,0.1,106,-,260,2.8,32,134,1.1,26.3,,Carbs,High-Carb
Multi Cereal bread,100,grams,,242,5,37,11,   خبز الحبوب المتعددة,جرام,-,-,-,2,30,-,270,3,85,270,2,40,,Carbs,High-Carb
Modern Bakery Protein bread,100,grams,,266,11.1,7.9,27.9,   المخبز الحديث خبز البروتين,جرام,-,-,-,2,30,-,270,3,85,270,2,40,,Carbs,Balanced Protein-Carb
whole Wheat flour,100,grams,,339,2,73,14,   دقيق أسمر,جرام,-,-,-,0.3,44,-,34,3.6,137,363,2.6,61.8,,Carbs,High-Carb
Whole Wheat Bread,100,grams,,266,2.6,55,9,   خبز بني كامل,جرام,-,-,-,1.9,28,-,260,2.7,82,266,1.9,37.9,,Carbs,High-Carb
Rice bread,100,grams,,243,4.6,44,9,   خبز الأرز,جرام,-,-,-,-,15,-,30,1.5,120,300,2.5,20,,Carbs,High-Carb
X-Tra fiber Wooden Bakery,100,grams,,290,1.4,58,11.4,   خبز عالي الالياف مخبوزات وودن,جرام,-,-,-,2,30,-,270,3,85,270,2,40,,Carbs,High-Fiber
Wholemeal bread,100,grams,,235,2.95,44,8.1,   خبز القمح الكامل,جرام,-,-,-,1.9,28,-,260,2.7,82,266,1.9,37.9,,Carbs,High-Carb
banana bread,100,grams,,326,11,55,4,   خبز الموز,جرام,20,1,0.5,5,30,0.2,30,1.5,25,200,0.8,5,,Packaged & Mixed Foods,Candy-like Snack
Rusk sticks,100,grams,,408,7.3,69.7,12,   بقسماط أصابع,جرام,-,-,-,-,25,-,80,3,50,200,1.5,20,,Carbs,High-Carb
Rye Crispbread,100,grams,,366,1.3,82,8,   خبز سن أو خبز البر,جرام,-,-,-,59,50,-,35,2.8,90,500,2.5,10,,Carbs,High-Carb
White bread,100,grams,,275,2.2,55.7,9.1,   خبز ابيض,جرام,-,-,-,0.1,106,-,260,2.8,32,134,1.1,26.3,,Carbs,High-Carb
Haddad Bakery High Protein Pita,100,grams,,216,1.6888,38.3333,18.3333,   خبز أبيض الحداد عالي البروتين,جرام,-,-,-,-,120,-,80,3,40,200,1.5,25,,Carbs,Balanced Protein-Carb
"French Bread (Vienna, Sourdough)",100,grams,,289,1.8,56.4,11.2,   خبز باجيت,جرام,-,-,-,0.1,106,-,260,2.8,32,134,1.1,26.3,,Carbs,High-Carb
Barley Bread,100,grams,,282,3.3,54.7,8.46,   خبز شعير,جرام,-,-,-,4,60,-,160,6,170,440,4,80,,Carbs,High-Carb
Rye Rusks,100,grams,,374,4.2,70,11,   شابورة بر,جرام,-,-,-,60,55,-,40,3,95,520,2.8,12,,Carbs,High-Carb
Psyllium Husk,100,grams,,378,0,89,0,   قشور البسيليوم,جرام,-,-,-,-,-,-,333,2,-,130,1,-,,Carbs,High-Fiber
Croissant,100,grams,,406,21,46,8,   كرواسون أو باتيه سادة,جرام,123,-,0.1,1,14,0.1,37,2,16,116,0.5,16,,Packaged & Mixed Foods,Candy-like Snack
White Flour,100,grams,,364,1,76,10,   دقيق أبيض,جرام,-,-,-,0.3,26,-,15,1.2,22,107,0.7,34,,Carbs,High-Carb
Wheat durum,100,grams,,339,2.5,71,14,   حبوب القمح نيئة,جرام,-,-,-,-,43,-,34,3.5,144,431,4.2,89.4,,Carbs,High-Carb
Bread Crumbs,100,grams,,395,5.3,71.98,13.35,   بقسماط,جرام,-,-,-,0.2,110,-,270,3,35,140,1.2,28,,Carbs,High-Carb
Bulgur Cooked,100,grams,,83,0.2,18.6,3.1,   برغل المسلوق,جرام,-,-,-,-,18,-,10,0.96,32,68,0.5,0.5,,Carbs,High-Carb
Quinoa Cooked,100,grams,,120,1.9,21.3,4.4,   كينوا مسلوقة,جرام,1,-,-,-,42,-,17,1.5,64,172,1.1,2.8,,Carbs,High-Carb
Couscous cooked,100,grams,,112,0.2,23.2,3.8,   كسكسي مسلوق,جرام,-,-,-,-,7,-,8,0.38,8,58,0.26,27.8,,Carbs,High-Carb
Sweet Potato cooked,100,grams,,76,0.14,17.72,1.37,   بطاطا مطهية,جرام,709,2.4,-,1.8,11,-,30,0.61,25,337,0.3,0.6,,Carbs,High-Carb
